Course,,Discipline,,,CGPA,Company [on-campus/ off-campus/PPO],,Profile,,CTC Offered,,Type of Offer,
Integrated M.Tech,,Applied Geology,,,8.6,Axtria,,,,14.75,,On-Campus,
Integrated M.Tech,,Applied Geology,,,7.31,Merilytics,,Senior Business Analyst,,9.5,,On-Campus,
Integrated M.Tech,,Applied Geology,,,8.53,Merilytics,,Senior Analyst - Data Science,,10.3,,On-Campus,
Integrated M.Tech,,Applied Geology,,,7.52,Quantiphi,,Business Analyst,,8.5,,On-Campus,
Integrated M.Tech,,Applied Geology,,,7.92,Sprinklr,,Product Analyst,,18,,On-Campus,
Integrated M.Tech,,Applied Geology,,,7.42,ZS Associates,,Data Analyst,,12.85,,PPO,
Integrated M.Tech,,Applied Geophysics,,,7.88,Axtria,,,,14.75,,On-Campus,
Integrated M.Tech,,Applied Geophysics,,,8.45,ONGC,,Geophysicist (Surface),,25,,On-Campus,
Integrated M.Tech,,Applied Geophysics,,,8.99,ONGC,,Geophysicist (Wells),,25,,On-Campus,
Integrated M.Tech,,Applied Geophysics,,,8.31,Tiger analytics,,,,10,,On-Campus,
Integrated M.Tech,,Applied Geophysics,,,8.02,Truminds,,,,13.5,,On-Campus,
Integrated M.Tech,,Applied Geophysics,,,7.44,ZS Associates,,DSA,,18.25,,On-Campus,
B.Tech,,Chemical Engineering,,,7.27,Axis Bank,,Analyst,,14,,On-Campus,
B.Tech,,Chemical Engineering,,,8.37,Axis Bank,,Analyst,,14,,On-Campus,
B.Tech,,Chemical Engineering,,,8.41,Axis Bank,,Analyst,,14,,On-Campus,
B.Tech,,Chemical Engineering,,,7.38,Axxela Advisory,,,,11.5,,On-Campus,
B.Tech,,Chemical Engineering,,,7.09,Cogoport,,,,14,,On-Campus,
B.Tech,,Chemical Engineering,,,7.89,Cogoport,,,,14,,On-Campus,
B.Tech,,Chemical Engineering,,,7.34,Cubation Consulting,,,,7.66,,On-Campus,
B.Tech,,Chemical Engineering,,,8.61,Cubation Consulting,,,,7.66,,On-Campus,
B.Tech,,Chemical Engineering,,,6.79,Holcim Group_ACC cement,,0,,10,,On-Campus,
B.Tech,,Chemical Engineering,,,7.62,ICICI Bank,,,,16,,On-Campus,
B.Tech,,Chemical Engineering,,,7.81,Innovaccer,,APM,,12,,On-Campus,
B.Tech,,Chemical Engineering,,,8.48,Innovaccer,,APM,,12,,On-Campus,
B.Tech,,Chemical Engineering,,,6.5,Medibuddy,,SDE-I,,15,,On-Campus,
B.Tech,,Chemical Engineering,,,7.52,Merilytics,,Senior Business Analyst,,9.5,,On-Campus,
B.Tech,,Chemical Engineering,,,8.13,Merilytics,,Senior Technical Associate,,9.5,,On-Campus,
B.Tech,,Chemical Engineering,,,6.64,PhonePe,,,,30.5,,On-Campus,
B.Tech,,Chemical Engineering,,,8.41,PhonePe,,,,30.5,,On-Campus,
B.Tech,,Chemical Engineering,,,7.79,Reliance Industries (E&P),,GET,,9,,On-Campus,
B.Tech,,Chemical Engineering,,,8.29,Reliance Industries (E&P),,GET,,9,,On-Campus,
B.Tech,,Chemical Engineering,,,6.14,Reliance Jio (TS2),,,,15,,On-Campus,
B.Tech,,Chemical Engineering,,,8.7,Sprinklr,,Product Analyst,,18,,On-Campus,
B.Tech,,Chemical Engineering,,,9.1,Tata Steel,,Management Trainee Technical,,10.52,,PPO,
B.Tech,,Chemical Engineering,,,8.05,Testbook,,SDE,,14,,On-Campus,
B.Tech,,Chemical Engineering,,,7.89,Udaan,,,,40,,On-Campus,
B.Tech,,Chemical Engineering,,,6.94,Vedanta_ESL Ltd.,,GET,,0,,On-Campus,
B.Tech,,Chemical Engineering,,,7.58,Vedanta_ESL Ltd.,,GET,,0,,On-Campus,
B.Tech,,Chemical Engineering,,,7.09,ZS Associates,,,,18.25,,On-Campus,
B.Tech,,Civil Engineering,,,7.82,Accenture Japan,,,,49.13,,On-Campus,
B.Tech,,Civil Engineering,,,6.61,Beehyv,,Developer- Trainee,,7,,On-Campus,
B.Tech,,Civil Engineering,,,7.31,Capgemini,,Associate Consultant,,10,,On-Campus,
B.Tech,,Civil Engineering,,,7.59,Cogoport,,,,14,,On-Campus,
B.Tech,,Civil Engineering,,,7.31,Cubation Consulting,,,,7.66,,On-Campus,
B.Tech,,Civil Engineering,,,8,Cubation Consulting,,,,7.66,,On-Campus,
B.Tech,,Civil Engineering,,,6.43,Future First,,,,12.4,,On-Campus,
B.Tech,,Civil Engineering,,,6.95,Future First,,,,12.4,,On-Campus,
B.Tech,,Civil Engineering,,,8.17,Google India,,,,30.36,,On-Campus,
B.Tech,,Civil Engineering,,,8.07,Holcim Group_ACC cement,,0,,10,,On-Campus,
B.Tech,,Civil Engineering,,,6.15,ICICI Bank,,,,16,,On-Campus,
B.Tech,,Civil Engineering,,,6.69,idrive,,,,15,,On-Campus,
B.Tech,,Civil Engineering,,,8.12,Innovaccer,,APM,,12,,On-Campus,
B.Tech,,Civil Engineering,,,7.19,L&T Construction,,,,6,,On-Campus,
B.Tech,,Civil Engineering,,,7.35,L&T Construction,,,,6,,On-Campus,
B.Tech,,Civil Engineering,,,7.76,L&T Construction,,,,6,,On-Campus,
B.Tech,,Civil Engineering,,,7.79,L&T Construction,,,,6,,On-Campus,
B.Tech,,Civil Engineering,,,8.09,L&T Construction,,,,6,,On-Campus,
B.Tech,,Civil Engineering,,,8.35,L&T Construction,,,,6,,On-Campus,
B.Tech,,Civil Engineering,,,8.59,L&T Construction,,,,6,,On-Campus,
